电影名称	评分	评价数量	
﻿肖申克的救赎	9.7	1528303人	
霸王别姬	9.6	1131391人	
这个杀手不太冷	9.4	1383015人	
阿甘正传	9.4	1195173人	
美丽人生	9.5	700120人	
千与千寻	9.3	1226374人	
泰坦尼克号	9.4	1136632人	
辛德勒的名单	9.5	621789人	
盗梦空间	9.3	1185474人	
忠犬八公的故事	9.3	791878人	
机器人总动员	9.3	786123人	
三傻大闹宝莱坞	9.2	1071197人	
放牛班的春天	9.3	745887人	
海上钢琴师	9.2	870847人	
楚门的世界	9.2	828801人	
大话西游之大圣娶亲	9.2	832098人	
星际穿越	9.3	851989人	
龙猫	9.2	737007人	
熔炉	9.3	489926人	
教父	9.3	535325人	
无间道	9.2	684207人	
疯狂动物城	9.2	956446人	
当幸福来敲门	9.1	868151人	
怦然心动	9.0	967594人	
触不可及	9.2	567887人	
﻿霸王别姬	9.6	1131391人	
这个杀手不太冷	9.4	1383015人	
阿甘正传	9.4	1195173人	
美丽人生	9.5	700120人	
千与千寻	9.3	1226374人	
泰坦尼克号	9.4	1136632人	
辛德勒的名单	9.5	621789人	
盗梦空间	9.3	1185474人	
忠犬八公的故事	9.3	791878人	
机器人总动员	9.3	786123人	
三傻大闹宝莱坞	9.2	1071197人	
放牛班的春天	9.3	745887人	
海上钢琴师	9.2	870847人	
